Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
x,16-Sep-17,x,x,3.1,19.55,6.3,x,x,x,,x,,,http://www.mapmyrun.com/workout/2467538360
x,6-Oct-17,x,x,3.11,1198,6.416666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2508593210
x,14-Oct-17,x,x,3.09,1197,6.466666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2522643863
11-Jun-17,11-Jun-17,Run,315,3.08999,1215,6.55,0,9.16031,0,,3626,,,http://www.mapmyrun.com/workout/2255711738
11-Jun-17,6-Jun-17,Run,474,4.39972,2295,8.68039,0,6.91213,0,,6422,,,http://www.mapmyrun.com/workout/2255711588
4-Jun-17,4-Jun-17,Run,1150,10.3903,5525,8.85228,0,6.77792,0,,15637,,,http://www.mapmyrun.com/workout/2240323469
4-Jun-17,1-Jun-17,Run,578,5.51763,2791,8.43472,0,7.11346,0,,7982,,,http://www.mapmyrun.com/workout/2240323232
1-Jun-17,30-May-17,Run,386,3.82619,1662,7.2493,0,8.27666,0,,4906,,,http://www.mapmyrun.com/workout/2232337313
1-Jun-17,28-May-17,Run,1242,10.9925,6347,9.61376,0,6.24105,0,,17625,,,http://www.mapmyrun.com/workout/2232337301
1-Jun-17,25-May-17,Run,558,5.07759,3472,11.4138,0,5.2568,0,,8134,,,http://www.mapmyrun.com/workout/2232336710
1-Jun-17,23-May-17,Run,503,4.9042,2944,10.0084,0,5.99499,0,,6781,,,http://www.mapmyrun.com/workout/2232336389
16-May-17,13-May-17,Run,1074,9.38878,5893,10.4775,0,5.72656,0,,16366,,,http://www.mapmyrun.com/workout/2198091713
11-May-17,11-May-17,Run,491,4.74587,2797,9.82506,0,6.10684,0,,7311,,,http://www.mapmyrun.com/workout/2186353397
11-May-17,9-May-17,Run,591,5.91455,3682,10.3561,0,5.79366,0,,8335,,,http://www.mapmyrun.com/workout/2186353250
6-May-17,6-May-17,Run,1366,13.27,5745,7.21667,0,8.31409,0,,17005,,,http://www.mapmyrun.com/workout/2174257553
2-May-17,2-May-17,Run,514,5.11198,2903,9.47788,0,6.33053,0,,6901,,,http://www.mapmyrun.com/workout/2165710046
2-May-17,2-May-17,Run,118,1.09246,613,9.34578,0,6.42001,0,,1618,,,http://www.mapmyrun.com/workout/2165709698
30-Apr-17,30-Apr-17,Run,928,8.22007,4797,9.71826,0,6.17394,0,,13410,,,http://www.mapmyrun.com/workout/2161371761
30-Apr-17,27-Apr-17,Run,479,4.54431,2270,8.32994,0,7.20293,0,,6700,,,http://www.mapmyrun.com/workout/2161371350
30-Apr-17,27-Apr-17,Run,101,0.864439,479,9.2491,0,6.48712,0,,1476,,,http://www.mapmyrun.com/workout/2161371188
30-Apr-17,25-Apr-17,Run,463,4.54952,2564,9.37846,0,6.39764,0,,6575,,,http://www.mapmyrun.com/workout/2161371212
30-Apr-17,23-Apr-17,Run,1160,10.2613,6386,10.3561,0,5.79366,0,,18005,,,http://www.mapmyrun.com/workout/2161371071
30-Apr-17,21-Apr-17,Run,472,4.17416,2303,9.18575,0,6.53185,0,,6797,,,http://www.mapmyrun.com/workout/2161370696
30-Apr-17,18-Apr-17,Run,513,5.06872,2954,9.71826,0,6.17394,0,,7395,,,http://www.mapmyrun.com/workout/2161370594
15-Apr-17,15-Apr-17,Run,1163,10.3578,6035,9.71826,0,6.17394,0,,16902,,,http://www.mapmyrun.com/workout/2128716644
9-Apr-17,9-Apr-17,Run,1610,12.99,5848,7.5,0,8,0,,17219,,,http://www.mapmyrun.com/workout/2114720576
9-Apr-17,4-Apr-17,Run,511,5.06483,2972,9.7892,0,6.12921,0,,7148,,,http://www.mapmyrun.com/workout/2114720003
9-Apr-17,4-Apr-17,Run,109,1.09542,606,9.21732,0,6.50948,0,,1729,,,http://www.mapmyrun.com/workout/2114719613
